architecture,lambda_reg,seed,initial_classifier_pr,halfway_threshold,halfway_epoch,log_epoch_auc,final_classifier_pr,final_test_accuracy
mlp,1.5,5,15.466683100475796,8.733341550237899,75.0,1.8477768097910134,1.9991804623684548,1.0
mlp,2.0,1,15.576192609995395,8.788096304997698,95.0,1.9458430083787224,1.999064106311882,1.0
mlp,2.0,2,15.609185398242348,8.804592699121173,85.0,1.8808356940527822,1.9989953312508957,1.0
mlp,2.0,3,15.454172930527134,8.727086465263568,85.0,1.8993240049441287,1.9996137939394607,1.0
mlp,2.0,4,14.459844672283312,8.229922336141655,85.0,1.8778110009504254,1.9972576472428456,1.0
mlp,2.0,5,15.466659447030638,8.733329723515318,75.0,1.8375176782463392,1.9988533595329476,1.0
mlp,3.0,1,15.574844270602828,8.787422135301414,90.0,1.9220593983545333,1.99945889863131,1.0
mlp,3.0,2,15.608450364770334,8.804225182385167,80.0,1.8675290520807004,1.9990058995910405,1.0
mlp,3.0,3,15.45405556833279,8.727027784166395,85.0,1.882203969845575,1.9996925692644292,1.0
mlp,3.0,4,14.459843082532316,8.229921541266158,80.0,1.8665830091120612,1.996505947912888,1.0
mlp,3.0,5,15.466616646685049,8.733308323342523,75.0,1.8274551280887326,1.9986793245799352,1.0
rnn,0.01,1,7.527087126943218,4.763543563471609,320.0,2.5870575304937606,1.9969903356679009,0.7343251705169678
rnn,0.01,2,7.380026726735004,4.690013363367502,480.0,2.824542665495163,1.7187485621587868,0.7530995607376099
rnn,0.01,3,9.577564324443433,5.788782162221716,320.0,2.5123147471016094,1.9767359934546724,0.6447042226791382
rnn,0.01,4,7.343065001976639,4.671532500988319,300.0,2.628391869853633,1.9844567801586344,0.6999645829200745
rnn,0.01,5,6.950857753796992,4.475428876898496,340.0,2.787441410769064,1.931187248340408,0.8678710460662842
rnn,0.1,1,7.526203303660163,4.763101651830082,270.0,2.4720119193687458,1.9980248549848865,0.7516825795173645
rnn,0.1,2,7.3790350115945715,4.689517505797285,360.0,2.6765395863619186,1.6986774045760795,0.745660662651062
rnn,0.1,3,9.564810792892592,5.782405396446296,220.0,2.3042926048614527,1.976220518627603,0.6422245502471924
rnn,0.1,4,7.342888308681195,4.671444154340597,260.0,2.5161648156750953,1.98575964152167,0.698901891708374
rnn,0.1,5,6.949656032993458,4.474828016496729,270.0,2.6200630869187407,1.9344580946958605,0.8671625852584839
rnn,0.5,1,7.521594884243076,4.760797442121538,210.0,2.3241721451838484,1.9980423107990235,0.7509741187095642
rnn,0.5,2,7.374008733370365,4.687004366685183,270.0,2.503804768776684,1.7227777558343926,0.7608926296234131
rnn,0.5,3,9.553738657310149,5.776869328655074,150.0,2.1169664787701956,1.9839011593004252,0.6418703198432922
rnn,0.5,4,7.34148181206192,4.67074090603096,220.0,2.398853108804993,1.977372320782548,0.6992561221122742
rnn,0.5,5,6.946086991133498,4.473043495566749,210.0,2.453862661755437,1.8786377590765693,0.8593694567680359
rnn,0.7,1,7.520019771267997,4.760009885633998,200.0,2.2831225208350596,1.9966684290959484,0.7545164823532104
rnn,0.7,2,7.371255733732441,4.68562786686622,250.0,2.4590123465411455,1.6981154518197057,0.7616011500358582
